url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
https://open.spotify.com/track/59JWp4PjZ9TRM8cmtaDYB1,0.895,0.739,8,-6.633,1,0.283,0.0183,7.61e-06,0.102,0.763,140.007,219340,4,0
https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529,125667,4,0
https://open.spotify.com/track/2XeMW0BNHdAbXVRZ3C1D09,0.758,0.666,8,-8.088,1,0.14,0.0318,0.00418,0.289,0.701,162.083,194347,4,0
https://open.spotify.com/track/1sF4VadVaVTvp9WTEy79JT,0.43,0.708,0,-7.14,1,0.0336,0.0561,0.0,0.704,0.243,75.024,234731,4,0
https://open.spotify.com/track/0xtIp0lgccN85GfGOekS5L,0.373,0.609,0,-7.0,1,0.0316,0.108,0.000427,0.0755,0.354,179.955,270680,4,0
https://open.spotify.com/track/1oZX407PWkU5ETtmRy3zL8,0.583,0.573,2,-7.396,1,0.0348,0.00214,0.0,0.152,0.129,87.922,112520,4,0
https://open.spotify.com/track/0Ll92eLIHWY5gey1ISNMPi,0.702,0.913,11,-2.977,1,0.0374,0.0514,3.71e-06,0.166,0.735,137.982,237680,4,0
https://open.spotify.com/track/49npsHkkRrF42IxwU10Egt,0.772,0.726,1,-3.04,1,0.216,0.00247,0.0,0.239,0.312,93.909,206186,4,0
https://open.spotify.com/track/6UVZo6UKUZC1J2KPP3IIwQ,0.835,0.505,8,-5.834,0,0.168,0.286,0.00219,0.198,0.665,118.021,178983,4,0
https://open.spotify.com/track/55vxejCDJGmmVAj2UTjZeQ,0.647,0.185,9,-14.68,0,0.0584,0.945,0.868,0.127,0.143,77.077,154125,4,0
https://open.spotify.com/track/73jOwyWVl6BsQdzeWulp0b,0.174,0.217,7,-16.665,1,0.04,0.896,0.951,0.116,0.114,73.594,297333,3,0
